name,ra,dec,vmag
HIP 86414,264.8662185,46.00632216, 3.82
HIP 79992,244.9351996,46.31327084, 3.91
HIP 116584,354.3904487,46.45917621, 3.81
HIP 99675,303.4079278,46.74132417, 3.80
HIP 44471,135.9064949,47.15665934, 3.57
HIP 19343,62.16530527,47.71259359, 3.96
HIP 99848,303.8679927,47.7142053, 3.96
HIP 57399,176.5130589,47.77933701, 3.69
HIP 17358,55.7311754,47.7876533, 3.01
HIP 44127,134.8034948,48.04234956, 3.12
HIP 7607,24.49792651,48.62848641, 3.59
HIP 67301,206.8856088,49.31330288, 1.85
HIP 15863,51.08061889,49.86124281, 1.79
HIP 111169,337.822399,50.28244976, 3.76
HIP 87833,269.1515744,51.48895101, 2.24
HIP 46853,143.2180219,51.67860208, 3.17
HIP 95853,292.4264139,51.72946747, 3.76
HIP 85670,262.6082371,52.30135901, 2.79
HIP 13531,43.564427,52.76248991, 3.93
HIP 94779,289.2754579,53.36816064, 3.80
HIP 14328,46.19912598,53.50645031, 2.91
HIP 58001,178.4572554,53.69473296, 2.41
HIP 2920,9.24277921,53.89693161, 3.69
HIP 28358,89.88145972,54.28498197, 3.72
HIP 65378,200.980916,54.92541525, 2.23
HIP 65477,201.3058983,54.98799884, 3.99
HIP 13268,42.67413655,55.89552955, 3.77
HIP 62956,193.5068041,55.95984301, 1.76
HIP 53910,165.4599615,56.38234478, 2.34
HIP 3179,10.12661349,56.53740928, 2.24
HIP 87585,268.3817896,56.87245216, 3.73
HIP 59774,183.856038,57.03259792, 3.32
HIP 3821,12.27125262,57.8165477, 3.46
HIP 109492,332.7135913,58.20124992, 3.39
HIP 75458,231.2324337,58.96602354, 3.29
HIP 48319,147.7487154,59.03910437, 3.78
HIP 746,2.29204036,59.15021814, 2.28
HIP 6686,21.45251267,60.23540347, 2.66
HIP 4427,14.17708808,60.71674966, 2.15
HIP 41704,127.5667923,60.7184311, 3.35
HIP 80331,245.9979452,61.51407536, 2.73
HIP 54061,165.9326537,61.75111888, 1.81
HIP 102422,311.3219526,61.83679404, 3.41
HIP 105199,319.6440898,62.58545529, 2.45
HIP 46733,142.8815403,63.06179545, 3.65
HIP 8886,28.59868107,63.67014686, 3.35
HIP 68756,211.0976084,64.37580873, 3.67
HIP 83895,257.1967711,65.71463676, 3.17
HIP 112724,342.4204674,66.20071089, 3.50
HIP 94376,288.1381458,67.66131695, 3.07
HIP 56211,172.851202,69.33112161, 3.82
HIP 61281,188.3710104,69.78820992, 3.85
HIP 97433,297.0425566,70.26783533, 3.84
HIP 106032,322.164896,70.56069481, 3.23
HIP 75097,230.1822884,71.83397308, 3.00
HIP 9598,30.85912643,72.42123962, 3.95
HIP 89937,275.2597457,72.73369763, 3.55
HIP 72607,222.6766475,74.15547596, 2.07
HIP 116727,354.8374252,77.63196681, 3.21
HIP 11767,37.94614689,89.26413805, 1.97
